開放漢語詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［繁體字］	［簡體字］	［漢語拼音］
冶金	冶金	ye3 jin1
冶金工業	冶金工业	ye3 jin1 gong1 ye4
冶金學	冶金学	ye3 jin1 xue2
冶麗	冶丽	ye3 li4
冶煉	冶炼	ye3 lian4
野蠻	野蛮	ye3 man2
野貓	野猫	ye3 mao1
野牛	野牛	ye3 niu2
冶容	冶容	ye3 rong2
冶色	冶色	ye3 se4
野杉	野杉	ye3 shan1
野史	野史	ye3 shi3
冶鐵	冶铁	ye3 tie3
也許	也许	ye3 xu3
冶艷	冶艳	ye3 yan4
冶陽天	冶阳天	ye3 yang2 tian1
冶逸	冶逸	ye3 yi4
冶由	冶由	ye3 you2
冶鑄	冶铸	ye3 zhu4
夜不歸宿	夜不归宿	ye4 bu4 gui1 su4
夜叉	夜叉	ye4 cha1
夜長夢多	夜长梦多	ye4 chang2 meng4 duo1
腋臭	腋臭	ye4 chou4
謁刺	谒刺	ye4 ci4
液果	液果	ye4 guo3
業績	业绩	ye4 ji4
夜間	夜间	ye4 jian1
謁見	谒见	ye4 jian4
液晶	液晶	ye4 jing1
液晶電視	液晶电视	ye4 jing1 dian4 shi4
夜闌人靜	夜阑人静	ye4 lan2 ren2 jing4
夜郎自大	夜郎自大	ye4 lang2 zi4 da4
夜裡	夜里	ye4 li3
葉落歸根	叶落归根	ye4 luo4 gui1 gen1
腋毛	腋毛	ye4 mao2
掖門	掖门	ye4 men2
頁面	页面	ye4 mian4
業內人士	业内人士	ye4 nei4 ren2 shi4
夜曲	夜曲	ye4 qu3
夜深人靜	夜深人静	ye4 shen1 ren2 jing4
掖省	掖省	ye4 sheng3
夜市	夜市	ye4 shi4
頁數	页数	ye4 shu4
液體	液体	ye4 ti3
液體炸彈	液体炸弹	ye4 ti3 zha4 dan4
掖庭	掖庭	ye4 ting2
夜晚	夜晚	ye4 wan3
腋窩	腋窝	ye4 wo1
業務	业务	ye4 wu4
腋下	腋下	ye4 xia4
夜宵	夜宵	ye4 xiao1
夜宴	夜宴	ye4 yan4
夜以繼日	夜以继日	ye4 yi3 ji4 ri4
夜鶯	夜莺	ye4 ying1
業餘	业余	ye4 yu2
掖垣	掖垣	ye4 yuan2
衣缽	衣钵	yi1 bo1
醫卜星相	医卜星相	yi1 bu3 xing1 xiang4
衣櫥	衣橱	yi1 chu2
依從	依从	yi1 cong2
衣袋	衣袋	yi1 dai4
衣單食薄	衣单食薄	yi1 dan1 shi2 bo2
依法	依法	yi1 fa3
依法懲辦	依法惩办	yi1 fa3 cheng2 ban4
依法炮製	依法炮制	yi1 fa3 pao4 zhi4
依法審理	依法审理	yi1 fa3 shen3 li3
依法治罪	依法治罪	yi1 fa3 zhi4 zui4
依附	依附	yi1 fu4
衣服	衣服	yi1 fu5
衣櫃	衣柜	yi1 gui4
衣架	衣架	yi1 jia4
衣襟	衣襟	yi1 jin1
銥金	铱金	yi1 jin1
依據	依据	yi1 ju4
依靠	依靠	yi1 kao4
衣釦	衣扣	yi1 kou4
依賴	依赖	yi1 lai4
依戀	依恋	yi1 lian4
醫療	医疗	yi1 liao2
衣帽	衣帽	yi1 mao4
衣帽鉤	衣帽钩	yi1 mao4 gou1
衣帽架	衣帽架	yi1 mao4 jia4
衣帽間	衣帽间	yi1 mao4 jian1
衣衾棺槨	衣衾棺椁	yi1 qin1 guan1 guo3
伊人	伊人	yi1 ren2
衣衫	衣衫	yi1 shan1
衣裳	衣裳	yi1 shang5
醫生	医生	yi1 sheng1
醫師	医师	yi1 shi1
衣食無憂	衣食无忧	yi1 shi2 wu2 you1
衣食住行	衣食住行	yi1 shi2 zhu4 xing2
醫士	医士	yi1 shi4
依偎	依偎	yi1 wei1
衣袖	衣袖	yi1 xiu4
醫學	医学	yi1 xue2
醫學院	医学院	yi1 xue2 yuan4
醫學院學生	医学院学生	yi1 xue2 yuan4 xue2 sheng5
醫藥	医药	yi1 yao4
依依不捨	依依不舍	yi1 yi1 bu4 she3
醫院	医院	yi1 yuan4
醫治	医治	yi1 zhi4
衣著	衣着	yi1 zhuo2
一半	一半	yi2 ban4
一倍	一倍	yi2 bei4
一臂之力	一臂之力	yi2 bi4 zhi1 li4
儀表	仪表	yi2 biao3
儀錶	仪表	yi2 biao3
儀表板	仪表板	yi2 biao3 ban3
儀表不凡	仪表不凡	yi2 biao3 bu4 fan2
一步步	一步步	yi2 bu4 bu4
一步步地	一步步地	yi2 bu4 bu4 de5
一不小心	一不小心	yi2 bu4 xiao3 xin1
一步一步	一步一步	yi2 bu4 yi2 bu4
遺產	遗产	yi2 chan3
一唱一和	一唱一和	yi2 chang4 yi2 he4
遺臭萬年	遗臭万年	yi2 chou4 wan4 nian2
遺傳	遗传	yi2 chuan2
遺傳基因	遗传基因	yi2 chuan2 ji1 yin1
一次性	一次性	yi2 ci4 xing4
一蹴而就	一蹴而就	yi2 cu4 er2 jiu4
一大堆	一大堆	yi2 da4 dui1
一代	一代	yi2 dai4
一旦	一旦	yi2 dan4
胰島素	胰岛素	yi2 dao3 su4
一定	一定	yi2 ding4
移動	移动	yi2 dong4
一動不動	一动不动	yi2 dong4 bu2 dong4
一馱糧	一驮粮	yi2 duo4 liang2
一個	一个	yi2 ge5
一共	一共	yi2 gong4
遺孤	遗孤	yi2 gu1
一貫	一贯	yi2 guan4
遺骸	遗骸	yi2 hai2
貽害	贻害	yi2 hai4
貽害無窮	贻害无穷	yi2 hai4 wu2 qiong2
遺害無窮	遗害无穷	yi2 hai4 wu2 qiong2
遺憾	遗憾	yi2 han4
頤和園	颐和园	yi2 he2 yuan2
一鬨而散	一哄而散	yi2 hong4 er2 san4
貽患	贻患	yi2 huan4
一會	一会	yi2 hui4
疑惑	疑惑	yi2 huo4
一技之長	一技之长	yi2 ji4 zhi1 chang2
一見傾心	一见倾心	yi2 jian4 qing1 xin1
一見如故	一见如故	yi2 jian4 ru2 gu4
一見鍾情	一见钟情	yi2 jian4 zhong1 qing2
移解	移解	yi2 jie4
貽累	贻累	yi2 lei4
遺留	遗留	yi2 liu2
一溜煙	一溜烟	yi2 liu4 yan1
一溜煙跑掉	一溜烟跑掉	yi2 liu4 yan1 pao3 diao4
遺漏	遗漏	yi2 lou4
一路平安	一路平安	yi2 lu4 ping2 an1
一路順風	一路顺风	yi2 lu4 shun4 feng1
疑慮	疑虑	yi2 lv4
姨媽	姨妈	yi2 ma1
一面	一面	yi2 mian4
一面倒	一面倒	yi2 mian4 dao3
一面之詞	一面之词	yi2 mian4 zhi1 ci2
一面之辭	一面之辞	yi2 mian4 zhi1 ci2
一面之緣	一面之缘	yi2 mian4 zhi1 yuan2
移民	移民	yi2 min2
一命嗚呼	一命呜呼	yi2 ming4 wu1 hu1
貽謀	贻谋	yi2 mou2
一幕	一幕	yi2 mu4
一目瞭然	一目了然	yi2 mu4 liao3 ran2
一念之間	一念之间	yi2 nian4 zhi1 jian1
一怒之下	一怒之下	yi2 nu4 zhi1 xia4
一諾千金	一诺千金	yi2 nuo4 qian1 jin1
一派胡言	一派胡言	yi2 pai4 hu2 yan2
一派胡言亂語	一派胡言乱语	yi2 pai4 hu2 yan2 luan4 yu3
一片昏黑	一片昏黑	yi2 pian4 hun1 hei1
一片混亂	一片混乱	yi2 pian4 hun4 luan4
一片空白	一片空白	yi2 pian4 kong4 bai2
一片祥和	一片祥和	yi2 pian4 xiang2 he2
一曝十寒	一曝十寒	yi2 pu4 shi2 han2
儀器	仪器	yi2 qi4
遺棄	遗弃	yi2 qi4
一氣之下	一气之下	yi2 qi4 zhi1 xia4
一竅不通	一窍不通	yi2 qiao4 bu4 tong1
一切	一切	yi2 qie4
一切照常	一切照常	yi2 qie4 zhao4 chang2
一切照舊	一切照旧	yi2 qie4 zhao4 jiu4
一去不復返	一去不复返	yi2 qu4 bu2 fu4 fan3
怡然	怡然	yi2 ran2
宜人	宜人	yi2 ren2
怡人	怡人	yi2 ren2
一日三秋	一日三秋	yi2 ri4 san1 qiu1
儀容	仪容	yi2 rong2
移山填海	移山填海	yi2 shan1 tian2 hai3
疑神疑鬼	疑神疑鬼	yi2 shen2 yi2 gui3
遺失	遗失	yi2 shi1
儀式	仪式	yi2 shi4
儀式從簡	仪式从简	yi2 shi4 cong2 jian3
一視同仁	一视同仁	yi2 shi4 tong2 ren2
一事無成	一事无成	yi2 shi4 wu2 cheng2
遺孀	遗孀	yi2 shuang1
移送	移送	yi2 song4
姨太太	姨太太	yi2 tai4 tai5
儀態萬千	仪态万千	yi2 tai4 wan4 qian1
一通	一通	yi2 tong4
遺忘	遗忘	yi2 wang4
一望無際	一望无际	yi2 wang4 wu2 ji4
一望無涯	一望无涯	yi2 wang4 wu2 ya2
一望無垠	一望无垠	yi2 wang4 wu2 yin2
疑為	疑为	yi2 wei2
夷為平地	夷为平地	yi2 wei2 ping2 di4
疑問	疑问	yi2 wen4
疑問號	疑问号	yi2 wen4 hao4
遺物	遗物	yi2 wu4
一線之隔	一线之隔	yi2 xian4 zhi1 ge2
一向	一向	yi2 xiang4
貽笑	贻笑	yi2 xiao4
貽笑大方	贻笑大方	yi2 xiao4 da4 fang1
一笑了之	一笑了之	yi2 xiao4 liao3 zhi1
一瀉千里	一泻千里	yi2 xie4 qian1 li3
遺訓	遗训	yi2 xun4
遺言	遗言	yi2 yan2
一言難盡	一言难尽	yi2 yan2 nan2 jin4
貽殃	贻殃	yi2 yang1
一樣	一样	yi2 yang4
一葉扁舟	一叶扁舟	yi2 ye4 bian3 zhou1
一夜情	一夜情	yi2 ye4 qing2
一夜走紅	一夜走红	yi2 ye4 zou3 hong2
一意孤行	一意孤行	yi2 yi4 gu1 xing2
一月	一月	yi2 yue4
怡悅	怡悦	yi2 yue4
胰臟	胰脏	yi2 zang4
貽贈	贻赠	yi2 zeng4
儀仗	仪仗	yi2 zhang4
儀仗隊	仪仗队	yi2 zhang4 dui4
遺照	遗照	yi2 zhao4
遺詔	遗诏	yi2 zhao4
一怔	一怔	yi2 zheng4
遺址	遗址	yi2 zhi3
頤指氣使	颐指气使	yi2 zhi3 qi4 shi3
一致	一致	yi2 zhi4
遺珠之憾	遗珠之憾	yi2 zhu1 zhi1 han4
遺囑	遗嘱	yi2 zhu3
遺囑條文	遗嘱条文	yi2 zhu3 tiao2 wen2
遺著	遗著	yi2 zhu4
彞族	彝族	yi2 zu2
以茶當酒	以茶当酒	yi3 cha2 dang4 jiu3
乙丑	乙丑	yi3 chou3
乙丑年	乙丑年	yi3 chou3 nian2
以訛傳訛	以讹传讹	yi3 e2 chuan2 e2
以防萬一	以防万一	yi3 fang2 wan4 yi1
乙酐	乙酐	yi3 gan1
以攻為守	以攻为守	yi3 gong1 wei2 shou3
乙亥	乙亥	yi3 hai4
乙亥年	乙亥年	yi3 hai4 nian2
齮齕	齮龁	yi3 he2
以後	以后	yi3 hou4
已婚	已婚	yi3 hun1
乙基	乙基	yi3 ji1
以及	以及	yi3 ji2
以己度人	以己度人	yi3 ji3 duo2 ren2
以假亂真	以假乱真	yi3 jia3 luan4 zhen1
齮骱	齮骱	yi3 jie4
已經	已经	yi3 jing1
以淚洗面	以泪洗面	yi3 lei4 xi3 mian4
以蠡測海	以蠡测海	yi3 li2 ce4 hai3
迤邐	迤逦	yi3 li3
以鄰為壑	以邻为壑	yi3 lin2 wei2 he4
乙卯	乙卯	yi3 mao3
乙卯年	乙卯年	yi3 mao3 nian2
以貌取人	以貌取人	yi3 mao4 qu3 ren2
苡米	苡米	yi3 mi3
已歿	已殁	yi3 mo4
旖旎	旖旎	yi3 ni3
旖旎風情	旖旎风情	yi3 ni3 feng1 qing2
以農立國	以农立国	yi3 nong2 li4 guo2
以偏概全	以偏概全	yi3 pian1 gai4 quan2
以其人之道，還治其人之身	以其人之道，还治其人之身	yi3 qi2 ren2 zhi1 dao4 huan2 zhi4 qi2 ren2 zhi1 shen1
以前	以前	yi3 qian2
齮挈	齮挈	yi3 qie4
乙炔	乙炔	yi3 que1
苡仁	苡仁	yi3 ren2
以身試法	以身试法	yi3 shen1 shi4 fa3
以身作則	以身作则	yi3 shen1 zuo4 ze2
乙巳	乙巳	yi3 si4
乙巳年	乙巳年	yi3 si4 nian2
乙酸	乙酸	yi3 suan1
乙酸酐	乙酸酐	yi3 suan1 gan1
以天下為己任	以天下为己任	yi3 tian1 xia4 wei2 ji3 ren4
乙烷	乙烷	yi3 wan2
以往	以往	yi3 wang3
以為	以为	yi3 wei2
乙未	乙未	yi3 wei4
乙未年	乙未年	yi3 wei4 nian2
以一當十	以一当十	yi3 yi1 dang4 shi2
乙酉	乙酉	yi3 you3
乙酉年	乙酉年	yi3 you3 nian2
以正校風	以正校风	yi3 zheng4 xiao4 feng1
以子之矛，攻子之盾	以子之矛，攻子之盾	yi3 zi3 zhi1 mao2 gong1 zi3 zhi1 dun4
以子之矛，陷子之盾	以子之矛，陷子之盾	yi3 zi3 zhi1 mao2 xian4 zi3 zhi1 dun4
椅子	椅子	yi3 zi5
議案	议案	yi4 an4
一百	一百	yi4 bai3
一百億	一百亿	yi4 bai3 yi4
一般	一般	yi4 ban1
一本正經	一本正经	yi4 ben3 zheng4 jing1
一筆勾銷	一笔勾销	yi4 bi3 gou1 xiao1
挹彼注茲	挹彼注兹	yi4 bi3 zhu4 zi1
一邊倒	一边倒	yi4 bian1 dao3
一表人才	一表人才	yi4 biao3 ren2 cai2
儀表堂堂	仪表堂堂	yi4 biao3 tang2 tang2
異丙基	异丙基	yi4 bing3 ji1
癔病	癔病	yi4 bing4
一波三折	一波三折	yi4 bo1 san1 zhe2
一不怕苦，二不怕死	一不怕苦，二不怕死	yi4 bu2 pa4 ku3 er4 bu2 pa4 si3
一不做，二不休	一不做，二不休	yi4 bu2 zuo4 er4 bu4 xiu1
義不容辭	义不容辞	yi4 bu4 rong2 ci2
刈草	刈草	yi4 cao3
一場	一场	yi4 chang2
一場夢	一场梦	yi4 chang2 meng4
一朝天子一朝臣	一朝天子一朝臣	yi4 chao2 tian1 zi3 yi4 chao2 chen2
一塵不染	一尘不染	yi4 chen2 bu4 ran3
一成	一成	yi4 cheng2
議程	议程	yi4 cheng2
一成不變	一成不变	yi4 cheng2 bu2 bian4
一成不變	一成不变	yi4 cheng2 bu2 bian4
一籌莫展	一筹莫展	yi4 chou2 mo4 zhan3
溢出	溢出	yi4 chu1
一齣戲	一出戏	yi4 chu1 xi4
益處	益处	yi4 chu4
一打	一打	yi4 da2
一沓鈔票	一沓钞票	yi4 da2 chao1 piao4
一沓紙	一沓纸	yi4 da2 zhi3
意大利麵	意大利面	yi4 da4 li4 mian4
一刀兩斷	一刀两断	yi4 dao1 liang3 duan4
一等獎	一等奖	yi4 deng3 jiang3
一點	一点	yi4 dian3
一點鐘	一点钟	yi4 dian3 zhong1
議定書	议定书	yi4 ding4 shu1
懿度	懿度	yi4 du4
臆斷	臆断	yi4 duan4
一而再	一而再	yi4 er2 zai4
一而再，再而三	一而再，再而三	yi4 er2 zai4 zai4 er2 san1
一帆風順	一帆风顺	yi4 fan1 feng1 shun4
懿範	懿范	yi4 fan4
一方面	一方面	yi4 fang1 mian4
一分鐘	一分钟	yi4 fen1 zhong1
義憤	义愤	yi4 fen4
一夫當關，萬夫莫開	一夫当关，万夫莫开	yi4 fu1 dang1 guan1 wan4 fu1 mo4 kai1
一股勁	一股劲	yi4 gu3 jin4
一骨碌	一骨碌	yi4 gu3 lu4
異國風味	异国风味	yi4 guo2 feng1 wei4
一回兒	一回儿	yi4 hui2 er5
一回生，二回熟	一回生，二回熟	yi4 hui2 sheng1 er4 hui2 shu2
議會	议会	yi4 hui4
抑或	抑或	yi4 huo4
異己	异己	yi4 ji3
一家之長	一家之长	yi4 jia1 zhi1 zhang3
一家之主	一家之主	yi4 jia1 zhi1 zhu3
意見之差	意见之差	yi4 jian4 zhi1 cha4
一舉兩得	一举两得	yi4 ju3 liang3 de2
一捲	一卷	yi4 juan3
一蹶不振	一蹶不振	yi4 jue2 bu2 zhen4
一口回絕	一口回绝	yi4 kou3 hui2 jue2
一口氣	一口气	yi4 kou3 qi4
異口同聲	异口同声	yi4 kou3 tong2 sheng1
一口咬定	一口咬定	yi4 kou3 yao3 ding4
一哭二鬧	一哭二闹	yi4 ku1 er4 nao4
一覽無遺	一览无遗	yi4 lan3 wu2 yi2
一勞永逸	一劳永逸	yi4 lao2 yong3 yi4
屹立	屹立	yi4 li4
毅力	毅力	yi4 li4
一流	一流	yi4 liu2
議論	议论	yi4 lun4
議論紛紛	议论纷纷	yi4 lun4 fen1 fen1
一馬當先	一马当先	yi4 ma3 dang1 xian1
一毛不拔	一毛不拔	yi4 mao2 bu4 ba2
溢美	溢美	yi4 mei3
溢美之詞	溢美之词	yi4 mei3 zhi1 ci2
薏米	薏米	yi4 mi3
疫苗	疫苗	yi4 miao2
懿明	懿明	yi4 ming2
藝名	艺名	yi4 ming2
譯名	译名	yi4 ming2
一鳴驚人	一鸣惊人	yi4 ming2 jing1 ren2
一模一樣	一模一样	yi4 mu2 yi2 yang4
翌年	翌年	yi4 nian2
一年半載	一年半载	yi4 nian2 ban4 zai3
一年級	一年级	yi4 nian2 ji2
一匹	一匹	yi4 pi3
一匹馬	一匹马	yi4 pi3 ma3
一篇文章	一篇文章	yi4 pian1 wen2 zhang1
一貧如洗	一贫如洗	yi4 pin2 ru2 xi3
一抔黃沙	一抔黄沙	yi4 pou2 huang2 sha1
一起	一起	yi4 qi3
意氣	意气	yi4 qi4
義氣	义气	yi4 qi4
意氣風發	意气风发	yi4 qi4 feng1 fa1
意氣煥發	意气焕发	yi4 qi4 huan4 fa1
意氣之爭	意气之争	yi4 qi4 zhi1 zheng1
一清二楚	一清二楚	yi4 qing1 er4 chu3
一清宿弊	一清宿弊	yi4 qing1 su4 bi4
一丘之貉	一丘之貉	yi4 qiu1 zhi1 he2
挹取	挹取	yi4 qu3
異曲同工	异曲同工	yi4 qu3 tong2 gong1
易燃	易燃	yi4 ran2
毅然	毅然	yi4 ran2
薏仁	薏仁	yi4 ren2
薏仁	薏仁	yi4 ren2
藝人	艺人	yi4 ren2
薏仁米	薏仁米	yi4 ren2 mi3
一人做事一人當	一人做事一人当	yi4 ren2 zuo4 shi4 yi4 ren2 dang1
翌日	翌日	yi4 ri4
易如反掌	易如反掌	yi4 ru2 fan3 zhang3
一如既往	一如既往	yi4 ru2 ji4 wang3
一聲不吭	一声不吭	yi4 sheng1 bu4 keng1
一聲不響	一声不响	yi4 sheng1 bu4 xiang3
一生一世	一生一世	yi4 sheng1 yi2 shi4
懿盛	懿盛	yi4 sheng4
意識到	意识到	yi4 shi2 dao4
一時得逞	一时得逞	yi4 shi2 de2 cheng3
一時疏忽	一时疏忽	yi4 shi2 shu1 hu1
意識形態	意识形态	yi4 shi2 xing2 tai4
役使	役使	yi4 shi3
懿士	懿士	yi4 shi4
議事	议事	yi4 shi4
軼事	轶事	yi4 shi4
逸事	逸事	yi4 shi4
藝術	艺术	yi4 shu4
藝術風格	艺术风格	yi4 shu4 feng1 ge2
藝術構思	艺术构思	yi4 shu4 gou4 si1
藝術家	艺术家	yi4 shu4 jia1
藝術品	艺术品	yi4 shu4 pin3
一絲不差	一丝不差	yi4 si1 bu4 cha1
一絲不苟	一丝不苟	yi4 si1 bu4 gou3
意思	意思	yi4 si5
一艘船	一艘船	yi4 sou1 chuan2
議題	议题	yi4 ti2
一體兩面	一体两面	yi4 ti3 liang3 mian4
劓殄	劓殄	yi4 tian3
意圖	意图	yi4 tu2
一推六二五	一推六二五	yi4 tui1 liu4 er4 wu3
意外驚喜	意外惊喜	yi4 wai4 jing1 xi3
億萬	亿万	yi4 wan4
億萬富翁	亿万富翁	yi4 wan4 fu4 weng1
一網打盡	一网打尽	yi4 wang3 da3 jin4
懿偉	懿伟	yi4 wei3
一文不值	一文不值	yi4 wen2 bu4 zhi2
一無可取	一无可取	yi4 wu2 ke3 qu3
一無是處	一无是处	yi4 wu2 shi4 chu4
一無所得	一无所得	yi4 wu2 suo3 de2
一無所有	一无所有	yi4 wu2 suo3 you3
一無所知	一无所知	yi4 wu2 suo3 zhi1
一五一十	一五一十	yi4 wu3 yi4 shi2
義務	义务	yi4 wu4
一夕之間	一夕之间	yi4 xi1 zhi1 jian1
一廂情願	一厢情愿	yi4 xiang1 qing2 yuan4
意想不到	意想不到	yi4 xiang3 bu5 dao4
異想天開	异想天开	yi4 xiang3 tian1 kai1
一些	一些	yi4 xie1
一心嚮往	一心向往	yi4 xin1 xiang4 wang3
一心一意	一心一意	yi4 xin1 yi2 yi4
異性	异性	yi4 xing4
一宿	一宿	yi4 xiu3
一言半語	一言半语	yi4 yan2 ban4 yu3
一言既出，駟馬難追	一言既出，驷马难追	yi4 yan2 ji4 chu1 si4 ma3 nan2 zhui1
一言九鼎	一言九鼎	yi4 yan2 jiu3 ding3
一言難罄	一言难罄	yi4 yan2 nan2 qing4
一言為定	一言为定	yi4 yan2 wei2 ding4
一言中的	一言中的	yi4 yan2 zhong4 di4
一氧化碳	一氧化碳	yi4 yang3 hua4 tan4
肄業	肄业	yi4 ye4
薏苡	薏苡	yi4 yi3
奕奕	奕奕	yi4 yi4
意義	意义	yi4 yi4
異議	异议	yi4 yi4
意義非凡	意义非凡	yi4 yi4 fei1 fan2
熠熠閃爍	熠熠闪烁	yi4 yi4 shan3 shuo4
意淫	意淫	yi4 yin3
意猶未盡	意犹未尽	yi4 you2 wei4 jin4
一隅	一隅	yi4 yu2
囈語	呓语	yi4 yu3
悒鬱	悒郁	yi4 yu4
抑鬱	抑郁	yi4 yu4
議員	议员	yi4 yuan2
一員幹將	一员干将	yi4 yuan2 gan4 jiang4
一元酸	一元酸	yi4 yuan2 suan1
議院	议院	yi4 yuan4
意在言外	意在言外	yi4 zai4 yan2 wai4
驛站	驿站	yi4 zhan4
議長	议长	yi4 zhang3
一朝被蛇咬，十年怕井繩	一朝被蛇咬，十年怕井绳	yi4 zhao1 bei4 she2 yao3 shi2 nian2 pa4 jing3 sheng2
一針見血	一针见血	yi4 zhen1 jian4 xie3
義正詞嚴	义正词严	yi4 zheng4 ci2 yan2
一直	一直	yi4 zhi2
一直走	一直走	yi4 zhi2 zou3
意旨	意旨	yi4 zhi3
懿旨	懿旨	yi4 zhi3
意志	意志	yi4 zhi4
抑制	抑制	yi4 zhi4
挹注	挹注	yi4 zhu4
譯著	译著	yi4 zhu4
陰暗面	阴暗面	yin1 an4 mian4
陰部	阴部	yin1 bu4
陰慘	阴惨	yin1 can3
陰差陽錯	阴差阳错	yin1 cha1 yang2 cuo4
因此	因此	yin1 ci3
陰道	阴道	yin1 dao4
陰蒂	阴蒂	yin1 di4
因公出差	因公出差	yin1 gong1 chu1 chai1
陰溝	阴沟	yin1 gou1
陰溝裡翻船	阴沟里翻船	yin1 gou1 li3 fan1 chuan2
陰核	阴核	yin1 he2
陰魂不散	阴魂不散	yin1 hun2 bu2 san4
因禍得福	因祸得福	yin1 huo4 de2 fu2
音階	音阶	yin1 jie1
陰莖	阴茎	yin1 jing1
陰離子	阴离子	yin1 li2 zi3
陰曆	阴历	yin1 li4
音量	音量	yin1 liang4
音律	音律	yin1 lv4
陰霾	阴霾	yin1 mai2
陰毛	阴毛	yin1 mao2
堙滅	堙灭	yin1 mie4
堙沒	堙没	yin1 mo4
陰謀	阴谋	yin1 mou2
喑氣	喑气	yin1 qi4
姻親	姻亲	yin1 qin1
殷勤	殷勤	yin1 qin2
音容笑貌	音容笑貌	yin1 rong2 xiao4 mao4
喑澀	喑涩	yin1 se4
音色	音色	yin1 se4
陰森	阴森	yin1 sen1
殷實	殷实	yin1 shi2
殷實人家	殷实人家	yin1 shi2 ren2 jia1
因素	因素	yin1 su4
陰台	阴台	yin1 tai2
喑畏	喑畏	yin1 wei4
因為	因为	yin1 wei4
喑嗚	喑呜	yin1 wu1
喑嗚叱	喑呜叱	yin1 wu1 chi4
因襲	因袭	yin1 xi2
因襲陳規	因袭陈规	yin1 xi2 chen2 gui1
音響	音响	yin1 xiang3
因小失大	因小失大	yin1 xiao3 shi1 da4
喑啞	喑哑	yin1 ya3
喑啞叱吒	喑哑叱咤	yin1 ya3 chi4 zha1
姻婭	姻娅	yin1 ya4
喑咽	喑咽	yin1 ye4
陰雨天	阴雨天	yin1 yu3 tian1
因緣	因缘	yin1 yuan2
姻緣	姻缘	yin1 yuan2
音樂	音乐	yin1 yue4
音樂會	音乐会	yin1 yue4 hui4
音樂家	音乐家	yin1 yue4 jia1
音樂節	音乐节	yin1 yue4 jie2
音樂劇	音乐剧	yin1 yue4 ju4
音樂團體	音乐团体	yin1 yue4 tuan2 ti3
氤氳	氤氲	yin1 yun1
音韻	音韵	yin1 yun4
音準	音准	yin1 zhun3
銀幣	银币	yin2 bi4
吟唱	吟唱	yin2 chang4
銀川	银川	yin2 chuan1
淫蕩	淫荡	yin2 dang4
銀漢	银汉	yin2 han4
銀行	银行	yin2 hang2
銀行行員	银行行员	yin2 hang2 hang2 yuan2
銀行利息	银行利息	yin2 hang2 li4 xi1
銀河	银河	yin2 he2
銀礦	银矿	yin2 kuang4
銀兩	银两	yin2 liang3
淫亂	淫乱	yin2 luan4
銀幕	银幕	yin2 mu4
銀屏	银屏	yin2 ping2
銀色	银色	yin2 se4
淫猥	淫猥	yin2 wei3
銀杏	银杏	yin2 xing4
銀杏	银杏	yin2 xing4
銀杏樹	银杏树	yin2 xing4 shu4
齗齗	龂龂	yin2 yin2
吟詠	吟咏	yin2 yong3
霪雨	霪雨	yin2 yu3
霪雨霏霏	霪雨霏霏	yin2 yu3 fei1 fei1
銀元	银元	yin2 yuan2
銀子	银子	yin2 zi5
引爆	引爆	yin3 bao4
引爆炸藥	引爆炸药	yin3 bao4 zha4 yao4
隱藏	隐藏	yin3 cang2
飲彈	饮弹	yin3 dan4
飲彈身亡	饮弹身亡	yin3 dan4 shen1 wang2
飲彈自盡	饮弹自尽	yin3 dan4 zi4 jin4
引導	引导	yin3 dao3
引渡	引渡	yin3 du4
引發	引发	yin3 fa1
引發爭議	引发争议	yin3 fa1 zheng1 yi4
引航	引航	yin3 hang2
隱晦	隐晦	yin3 hui4
引薦	引荐	yin3 jian4
引咎	引咎	yin3 jiu4
隱居	隐居	yin3 ju1
癮君子	瘾君子	yin3 jun1 zi5
引力場	引力场	yin3 li4 chang3
飲料	饮料	yin3 liao4
引領	引领	yin3 ling3
隱瞞	隐瞒	yin3 man2
引起	引起	yin3 qi3
引起共鳴	引起共鸣	yin3 qi3 gong4 ming2
引擎	引擎	yin3 qing2
引人入勝	引人入胜	yin3 ren2 ru4 sheng4
引人注目	引人注目	yin3 ren2 zhu4 mu4
飲食	饮食	yin3 shi2
飲食失調	饮食失调	yin3 shi2 shi1 tiao2
飲水思源	饮水思源	yin3 shui3 si1 yuan2
隱私	隐私	yin3 si1
隱私權	隐私权	yin3 si1 quan2
引退	引退	yin3 tui4
隱退	隐退	yin3 tui4
引文舛錯	引文舛错	yin3 wen2 chuan3 cuo4
隱形	隐形	yin3 xing2
隱形人	隐形人	yin3 xing2 ren2
隱形眼鏡	隐形眼镜	yin3 xing2 yan3 jing4
隱性眼鏡	隐性眼镜	yin3 xing4 yan3 jing4
引以為鑑	引以为鉴	yin3 yi3 wei2 jian4
引以為戒	引以为戒	yin3 yi3 wei2 jie4
隱隱	隐隐	yin3 yin3
隱隱作痛	隐隐作痛	yin3 yin3 zuo4 tong4
引用	引用	yin3 yong4
引用文	引用文	yin3 yong4 wen2
引誘	引诱	yin3 you4
隱約	隐约	yin3 yue1
飲鴆止渴	饮鸩止渴	yin3 zhen4 zhi3 ke3
印鑑	印鉴	yin4 jian4
窨井	窨井	yin4 jing3
