你 : ni3
拟 : ni3
逆 : ni4
年 : nian2
念 : nian4
娘 : niang2
酿 : niang4
鸟 : niao3
尿 : niao4
捏 : nie1
您 : nin2
宁 : ning2
凝 : ning2
牛 : niu2
扭 : niu3
纽 : niu3
农 : nong2
浓 : nong2
弄 : nong4
奴 : nu2
努 : nu3
怒 : nu4
女 : nv3
暖 : nuan3
挪 : nuo2
诺 : nuo4
哦 : e2
欧 : ou1
偶 : ou3
爬 : pa2
帕 : pa4
怕 : pa4
拍 : pai1
排 : pai2
牌 : pai2
派 : pai4
攀 : pan1
盘 : pan2
判 : pan4
叛 : pan4
盼 : pan4
庞 : pang2
旁 : pang2
胖 : pang4
抛 : pao1
炮 : pao4
跑 : pao3
泡 : pao4
胚 : pei1
陪 : pei2
培 : pei2
赔 : pei2
佩 : pei4
配 : pei4
喷 : pen1
盆 : pen2
朋 : peng2
棚 : peng2
蓬 : peng2
鹏 : peng2
膨 : peng2
捧 : peng3
碰 : peng4
批 : pi1
披 : pi1
皮 : pi2
疲 : pi2
脾 : pi2
匹 : pi3
屁 : pi4
譬 : pi4
片 : pian4
偏 : pian1
篇 : pian1
骗 : pian4
漂 : piao1
飘 : piao1
瓢 : piao2
票 : piao4
拼 : pin1
贫 : pin2
频 : pin2
品 : pin3
平 : ping2
评 : ping2
凭 : ping2
苹 : ping2
屏 : ping2
瓶 : ping2
萍 : ping2
坡 : po1
泼 : po1
颇 : po1
婆 : po2
迫 : po4
破 : po4
剖 : pou1
扑 : pu1
铺 : pu1
葡 : pu2
蒲 : pu2
朴 : po4
浦 : pu3
普 : pu3
谱 : pu3
七 : qi1
妻 : qi1
栖 : qi1
戚 : qi1
期 : qi1
欺 : qi1
漆 : qi1
齐 : qi2
其 : qi2
奇 : qi2
歧 : qi2
骑 : qi2
棋 : qi2
旗 : qi2
企 : qi3
岂 : qi3
启 : qi3
起 : qi3
气 : qi4
弃 : qi4
汽 : qi4
契 : qi4
砌 : qi4
器 : qi4
恰 : qia4
千 : qian1
迁 : qian1
牵 : qian1
铅 : qian1
谦 : qian1
签 : qian1
前 : qian2
钱 : qian2
潜 : qian2
浅 : qian3
遣 : qian3
欠 : qian4
枪 : qiang1
腔 : qiang1
强 : qiang2
墙 : qiang2
抢 : qiang3
悄 : qiao3
敲 : qiao1
乔 : qiao2
桥 : qiao2
瞧 : qiao2
巧 : qiao3
切 : qie4
茄 : qie2
且 : qie3
窃 : qie4
亲 : qin1
侵 : qin1
秦 : qin2
琴 : qin2
禽 : qin2
勤 : qin2
青 : qing1
氢 : qing1
轻 : qing1
倾 : qing1
清 : qing1
情 : qing2
晴 : qing2
顷 : qing3
请 : qing3
庆 : qing4
穷 : qiong2
丘 : qiu1
